NAME;Verkehr;lng;lat
Amberg;RV;11.862902;49.447616
Münster-Amelsbüren;nur DPN;7.598897;51.883662
Lippstadt;FV;8.348785;51.670687
Amorbach;RV;9.223147;49.645609
Ampfing;RV;12.410919;48.253949
Amstetten(Württ);RV;9.872965;48.578328
Hannover Anderten-Misburg;RV;9.861109;52.369161
Angermund;RV;6.781857;51.330748
Angersbach;nur DPN;9.44726;50.63077
Annweiler am Trifels;RV;7.966149;49.205386
Anrath;RV;6.45023;51.285536
Langenlonsheim;RV;7.899887;49.901372
Langwedel;RV;9.194981;52.977881
Anwanden;RV;10.930396;49.411692
Anzefahr;RV;8.85959;50.845731
Anzenkirchen;RV;13.021996;48.434739
Nottuln-Appelhülsen;RV;7.426334;51.892139
Appenweier;RV;7.97319;48.541461
Ardey;RV;7.727176;51.481163
Arfurt(Lahn);nur DPN;8.211079;50.406403
Bad Münstereifel-Arloff;RV;6.786608;50.597676
Armsheim;RV;8.074113;49.808372
Arnbach;RV;11.344044;48.34132
Arnsberg(Westf);RV;8.067965;51.405662
Arnschwang;RV;12.8116;49.274608
Bad Arolsen;RV;8.997792;51.3816
Arsbeck;nur DPN;6.206563;51.152006
Arzberg(Oberfr);nur DPN;12.197692;50.054633
Mainz-Kastel;RV;8.283174;50.00658
Aschaffenburg Hochschule;RV;9.160416;49.974445
Aschaffenburg Süd;RV;9.152586;49.968465
Aschau(Chiemgau);RV;12.325564;47.779106
Ascheberg(Westf);nur DPN;7.600749;51.782991
Aschendorf;nur DPN;7.337153;53.052179
Asselheim;RV;8.161602;49.57622
Ashausen;nur DPN;10.145564;53.368693
Asperg;RV;9.147797;48.907359
Neu-Edingen/Friedrichsfeld;RV;8.580125;49.44867
Assenheim(Oberhess);RV;8.812462;50.304939
Aßlar;RV;8.462756;50.588657
Aßling(Oberbay);nur DPN;11.993518;47.989491
Assmannshausen;nur DPN;7.867355;49.985324
Attendorn;nur DPN;7.908493;51.124644
Miltenberg;RV;9.248467;49.706481
Au im Murgtal;RV;8.362349;48.718867
Moers;nur DPN;6.641535;51.451147
Aue-Wingeshausen;nur DPN;8.290085;51.051785
Auerbach(b Mosbach. Baden);RV;9.223276;49.399563
Kirchheimbolanden;RV;8.016526;49.668545
Aufhausen(b Erding);RV;11.894375;48.274365
Aufhausen(Württ);RV;10.317193;48.85613
Auggen;RV;7.586788;47.789949
Augsburg Haunstetterstraße;RV;10.900985;48.355285
Augsburg Messe;RV;10.886086;48.338684
Augsburg Morellstr.;RV;10.892948;48.355089
Augsburg-Hochzoll;RV;10.943376;48.352977
Augsburg-Oberhausen;RV;10.872533;48.380772
Monsheim;RV;8.208162;49.633666
Augustfehn;FV;7.759659;53.22089
Montabaur;FV;7.825333;50.444834
Aumenau;nur DPN;8.249249;50.400422
Aumühle;RV;10.314672;53.529853
Auringen-Medenbach;nur DPN;8.332093;50.113608
Auw an der Kyll;RV;6.614525;49.903596
Aying;RV;11.769578;47.968762
Hückelhoven-Baal;RV;6.274149;51.033457
Baar-Ebenhausen;RV;11.4600921;48.6749376
Babstadt;RV;9.060708;49.240196
Bacharach;RV;7.769523;50.056101
Bachern;RV;11.378716;48.280159
Bachheim;nur DPN;8.399399;47.862072
Mülheim(Ruhr)Styrum;RV;6.852636;51.449203
Neufahrn(Niederbay);RV;12.19046;48.729884
Bad Abbach;nur DPN;11.994322;48.922732
Bad Aibling;nur DPN;12.004157;47.862028
Bad Bergzabern;RV;8.002787;49.103209
Bad Breisig;RV;7.304564;50.504218
Bad Aibling Kurpark;nur DPN;12.013823;47.857617
Bad Driburg(Westf);nur DPN;9.03081;51.730323
Bad Dürkheim;RV;8.170701;49.460633
Bad Ems;RV;7.728637;50.327652
Bad Ems West;RV;7.706039;50.330694
Bad Friedrichshall-Kochendorf;RV;9.21098471;49.2185642
Bad Wimpfen Im Tal;RV;9.187046;49.229848
Bad Griesbach(Schwarzwald);nur DPN;8.230569;48.448618
Bad Dürkheim-Trift;RV;8.193072;49.466416
Bad Höhenstadt;RV;13.323195;48.494606
Bad Hönningen;RV;7.310871;50.513676
Bad Homburg;RV;8.620624;50.219904
Bad Honnef(Rhein);RV;7.219533;50.639772
Bad Kissingen;RV;10.079885;50.191547
Bad König;nur DPN;9.001539;49.738577
Bad Kohlgrub;RV;11.058204;47.668006
Bad Kohlgrub Kurhaus;RV;11.039181;47.670213
Bad Krozingen;FV;7.697632;47.919721
Neumarkt-St Veit;RV;12.503075;48.361318
Bad Liebenzell;RV;8.734039;48.772578
Bad Mergentheim;RV;9.771662;49.493647
Bad Münder(Deister);RV;9.468062;52.178192
Bad Münster a Stein;RV;7.846989;49.813426
Bad Münstereifel;RV;6.764369;50.558914
Bad Nauheim;RV;8.749334;50.367904
Bad Neuenahr;RV;7.144304;50.547765
Bad Neustadt(Saale);RV;10.226134;50.328127
Bad Niedernau;RV;8.896533;48.460766
Bad Oeynhausen;FV;8.796523;52.205398
Bad Oeynhausen Süd;nur DPN;8.801723;52.197127
Bad Peterstal;nur DPN;8.201948;48.428895
Bad Pyrmont;RV;9.272719;51.974233
Bad Rappenau;RV;9.101529;49.237765
Bad Reichenhall;FV;12.881825;47.731168
Bad Reichenhall-Kirchberg;FV;12.874001;47.718538
Bad Sachsa;RV;10.573211;51.581944
Bad Salzdetfurth;nur DPN;10.005595;52.062635
Bad Salzhausen;nur DPN;8.980381;50.418878
Boppard-Bad Salzig;RV;7.635481;50.205251
Bad Salzschlirf;nur DPN;9.494484;50.626935
Bad Salzuflen;nur DPN;8.740428;52.081628
Bad Sassendorf;nur DPN;8.162439;51.587168
